,Rank,Team,Conf,WL,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS_AdjEM
,223,Long Beach St.,BW,15-19,-4.99,101,106,71.4,0.051,-0.41,104.1,104.6,5.84
,224,Weber St.,BSky,18-15,-5.06,101.3,106.4,71,-0.022,-6.9,101.8,108.7,0.88
,225,La Salle,A10,10-21,-5.16,99.8,105,68.8,-0.04,0.28,103.6,103.3,0.89
,226,Cal St. Bakersfield,WAC,16-15,-5.16,102.5,107.6,65.3,0.055,-1.58,103.7,105.3,-2.46
,227,Evansville,MVC,11-21,-5.37,99.3,104.7,69.3,-0.061,-0.13,102.9,103.1,1.79
,228,High Point,BSth,16-15,-5.52,99.1,104.6,63.5,0.019,-4.05,103.4,107.4,-2.39
,229,South Dakota,Sum,13-17,-5.7,100.3,106,66.8,-0.048,-3.65,103.8,107.4,-0.24
,230,UMBC,AE,21-13,-5.75,95.9,101.7,64.8,0.078,-6.83,100.1,106.9,-4.2
,231,Southeastern Louisiana,Slnd,17-16,-5.9,99.2,105.1,65.1,0.009,-6.78,100.5,107.3,2.13
,232,Boston University,Pat,15-18,-5.93,104.1,110.1,66.1,-0.025,-4.51,102.4,106.9,-4.01
,233,Quinnipiac,MAAC,16-14,-5.98,104.4,110.3,66.7,-0.024,-9.42,98.7,108.1,-7.62
,234,UMKC,WAC,11-21,-6.14,100.9,107,66.2,-0.052,0.42,105.2,104.8,1.5
,235,Massachusetts,A10,11-21,-6.16,102.8,108.9,67.2,-0.061,-1.48,102.7,104.1,-4.64
,236,Detroit,Horz,11-20,-6.46,106.1,112.5,68.4,-0.011,0.2,104.9,104.7,5.84
,237,Eastern Washington,BSky,16-18,-6.57,100.9,107.5,67.6,0.026,-4.66,102.8,107.4,7.1
,238,Eastern Kentucky,OVC,13-18,-6.57,99.2,105.8,76.4,0.012,-1.78,103.6,105.4,0.92
,239,Sacred Heart,NEC,15-17,-6.71,104,110.7,71.8,-0.062,-7.71,100.3,108,-1.19
,240,Holy Cross,Pat,16-17,-6.8,100.9,107.7,63.4,0.067,-3.46,103.1,106.5,-1.89
,241,Air Force,MWC,14-18,-6.84,100.4,107.3,66.4,0.03,-1.14,102.9,104,-3.87
,242,Army,Pat,13-19,-6.85,96.1,103,69.6,-0.028,-4.41,103.2,107.6,-4.48
,243,California,P12,8-23,-7.2,102.9,110.1,66.4,0.037,4.68,106.5,101.8,0.21
,244,Middle Tennessee,CUSA,11-21,-7.21,98.1,105.3,67.5,0.013,2.02,103.9,101.8,10.28
,245,Drexel,CAA,13-19,-7.37,105.5,112.9,68.9,0.004,-2.66,104.4,107.1,-1.22
,246,Troy,SB,12-18,-7.4,102.8,110.2,66.9,0.053,-0.19,104.3,104.5,1.51
,247,Rice,CUSA,13-19,-7.48,102.8,110.3,70,0,-1.89,101.3,103.2,0.61
,248,UC Davis,BW,11-20,-7.49,96.2,103.7,65.7,-0.043,-1.51,103.1,104.6,5.03
,249,The Citadel,SC,12-18,-7.59,106.6,114.2,73.5,0.028,1.57,105.4,103.8,0.29
,250,Jacksonville,ASun,12-20,-7.6,98.7,106.3,70.8,-0.056,-3.36,102.2,105.6,-3.91
,251,Western Michigan,MAC,8-24,-7.61,99,106.6,69.1,-0.039,2.95,106.1,103.2,-3.01
,252,Montana St.,BSky,15-17,-7.64,107.4,115.1,69.8,0.008,-6.31,102,108.3,3.93
,253,New Orleans,Slnd,19-13,-7.68,97,104.7,68.2,0.093,-6.67,100.7,107.4,6.7
